display_name,normalized_name,occurrence_count,recipe_count,kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,quantity_examples,recipe_examples
Timo,timo,575,568,ingredient,unmatched,,,1 Rametto (111) | 1 Pizzico (39) | 2 Rametti (21) | 1 Cucchiaino (14) | Alcuni Rametti (11),Abbacchio Alla Cacciatora (4) | Abbacchio Con Asparagi | Acciughe Al Limone (6) | Aceto Agli Aromi (2) | Aceto Al Timo
Capperi,capperi,560,558,ingredient,unmatched,,,1 Cucchiaio (157) | 2 Cucchiai (41) | 50 G (35) | 30 G (33) | 1 Cucchiaino (25),Agghiotta Di Pesce Spada (2) | Agnello Alla Toscana | Aguglie Alla Siciliana | Alivi Siracusani Scacciati | Anatra In Umido Con Le Olive
Arancia,arancia,549,548,ingredient,alias,Arancia,arancie,1 (146) | 1 Fetta (129) | 1 Fettina (110) | 1/2 Fetta (31) | 1 Spicchio (23),Afternoon Cocktail | Alaska (4) | Alta Società | Amaretto Sour (2) | American Lemonade
Origano,origano,542,542,ingredient,unmatched,,,1 Pizzico (94) | 1 Cucchiaino (26) | 1 Presa (18) | 1 Cucchiaio (12) | 1/2 Cucchiaino (6),Abbacchio A Scottadito (2) | Acciughe Al Vino Bianco | Acciughe All'aglio | Acciughe Alla Pizzaiola | Acciughe Alla Siciliana
Cannella,cannella,531,529,ingredient,unmatched,,,1 Pizzico (96) | 1 G (47) | 1 Pezzetto (36) | 1 Stecca (29) | 1 Cucchiaino (29),Aceto Alla Cipolla | Aceto Aromatico (2) | Aceto Aromatico Per Insalate Con La Frutta | Aceto Dei 10 Aromi | Aceto Di Cherry
Tuorlo D'uovo,tuorlo d uovo,528,524,ingredient,unmatched,,,1 (514) | 1/2 (7) | 1 Cucchiaio (1) | 1 Cucchiaino (1) | 2 Cucchiaini (1),Agnello In Crosta | Alice | Ambassador | Anatra Selvatica Alla Crema | Anguilla In Salsa Verde
Succo D'arancia,succo d arancia,525,522,ingredient,unmatched,,,1/3 (45) | 1/4 (43) | 1/6 (34) | 1/5 (29) | 1 Cucchiaio (26),57 Chevy | A Lulu | Abate | Absolut Trouble | Absoluto
Uvetta Sultanina,uvetta sultanina,505,504,ingredient,unmatched,,,50 G (99) | 100 G (78) | 30 G (42) | 1 Cucchiaio (27) | 150 G (23),Acciughe In Saor | Aceto Temperato All'uva Passa | Agghiotta Di Pesce Spada (2) | Agnolotti Di Zucca | Alici Affogate Nel Broccolo Romano
Pomodori Pelati,pomodori pelati,503,503,ingredient,unmatched,,,400 G (70) | 250 G (48) | 500 G (47) | 300 G (42) | 1 Scatola (40),Abbraccio Di Mezze Maniche | Agnello Alla Cacciatora | Agnello Marinato | Agnello Saporito | Anguilla In Brodetto
Ricotta,ricotta,491,489,ingredient,unmatched,,,200 G (93) | 300 G (64) | 150 G (54) | 100 G (52) | 250 G (50),Agnolotti Ricotta E Spinaci Decorati Con Ravanelli | Alberello Di Ricotta Con Agrumi E Fondente | Anatra Ripiena Alla Salsa Di Rape | Anello Di Patate E Cavolfiore | Antipasto Di Pomodori
